Year,State,MHI,RMHI
2018,NV,"61,864","61,864"
1984,NY,"22,027","50,846"
1985,NY,"23,639","52,756"
1986,NY,"25,025","54,889"
1987,NY,"26,384","55,945"
1988,NY,"28,915","59,174"
1989,NY,"31,496","61,756"
1990,NY,"31,591","59,032"
1991,NY,"31,794","57,325"
1992,NY,"31,051","54,627"
1993,NY,"31,697","54,392"
1994,NY,"31,899","53,619"
1995,NY,"33,028","54,211"
1996,NY,"35,410","56,613"
1997,NY,"35,798","56,022"
1998,NY,"37,394","57,738"
1999,NY,"39,989","60,458"
2000,NY,"40,744","59,577"
2001,NY,"42,114","59,876"
2002,NY,"41,966","58,740"
2003,NY,"42,788","58,560"
2004,NY,"44,649","59,500"
2005,NY,"47,176","60,808"
2006,NY,"48,222","60,204"
2007,NY,"48,944","59,421"
2008,NY,"50,461","58,996"
2009,NY,"50,216","58,915"
2010,NY,"49,781","57,456"
2011,NY,"50,636","56,657"
2012,NY,"47,680","52,243"
2013,NY,"49,966","53,949"
2014,NY,"54,310","57,662"
2015,NY,"58,005","61,480"
2016,NY,"61,437","64,288"
2017,NY,"61,543","63,043"
2018,NY,"67,274","67,274"
1984,OH,"23,123","53,376"
1985,OH,"25,174","56,182"
1986,OH,"25,115","55,086"
1987,OH,"25,773","54,649"
1988,OH,"27,740","56,770"
1989,OH,"29,021","56,903"
1990,OH,"30,013","56,083"
1991,OH,"29,790","53,712"
1992,OH,"31,404","55,248"
1993,OH,"31,285","53,685"
1994,OH,"31,855","53,545"
1995,OH,"34,941","57,351"
1996,OH,"34,070","54,471"
1997,OH,"36,134","56,548"
1998,OH,"38,925","60,102"
1999,OH,"39,489","59,702"
2000,OH,"42,962","62,821"
2001,OH,"41,785","59,408"
2002,OH,"42,684","59,745"
2003,OH,"43,520","59,562"
2004,OH,"43,055","57,376"
2005,OH,"44,203","56,975"
2006,OH,"45,900","57,305"
2007,OH,"49,099","59,609"
2008,OH,"46,934","54,873"
2009,OH,"45,879","53,826"
2010,OH,"45,886","52,961"
2011,OH,"44,648","49,957"
2012,OH,"44,375","48,622"
2013,OH,"50,748","54,793"
2014,OH,"49,644","52,708"
2015,OH,"53,301","56,494"
2016,OH,"53,985","56,490"
2017,OH,"60,688","62,167"
2018,OH,"61,633","61,633"
1984,OK,"21,148","48,817"
1985,OK,"21,205","47,324"
1986,OK,"20,948","45,946"
1987,OK,"21,691","45,994"
1988,OK,"23,667","48,434"
1989,OK,"23,667","46,405"
1990,OK,"24,384","45,564"
1991,OK,"25,462","45,909"
1992,OK,"25,284","44,482"
1993,OK,"26,260","45,062"
1994,OK,"26,991","45,369"
1995,OK,"26,311","43,186"
1996,OK,"27,437","43,866"
1997,OK,"31,351","49,063"
1998,OK,"33,727","52,076"
1999,OK,"32,683","49,412"
2000,OK,"32,432","47,423"
2001,OK,"35,609","50,627"
2002,OK,"36,458","51,030"
2003,OK,"35,902","49,136"
2004,OK,"39,614","52,790"
2005,OK,"37,645","48,523"
2006,OK,"38,838","48,488"
2007,OK,"43,216","52,466"
2008,OK,"46,111","53,910"
2009,OK,"45,878","53,825"
2010,OK,"43,103","49,749"
2011,OK,"48,455","54,217"
2012,OK,"48,407","53,040"
2013,OK,"46,162","49,841"
2014,OK,"47,199","50,113"
2015,OK,"47,077","49,897"
2016,OK,"50,943","53,307"
2017,OK,"51,882","53,147"
2018,OK,"54,434","54,434"
1984,OR,"21,399","49,397"
1985,OR,"21,894","48,862"
1986,OR,"24,773","54,336"
1987,OR,"25,038","53,091"
1988,OR,"27,748","56,786"
1989,OR,"28,529","55,939"
1990,OR,"29,281","54,715"
1991,OR,"30,190","54,433"
1992,OR,"31,927","56,168"
1993,OR,"33,138","56,865"
1994,OR,"31,456","52,875"
1995,OR,"36,374","59,703"
1996,OR,"35,492","56,744"
1997,OR,"37,247","58,290"
1998,OR,"39,067","60,321"
1999,OR,"40,619","61,410"
2000,OR,"42,499","62,144"
2001,OR,"41,273","58,680"
2002,OR,"41,802","58,510"
2003,OR,"41,638","56,986"
2004,OR,"40,994","54,629"
2005,OR,"44,159","56,919"
2006,OR,"47,091","58,792"
2007,OR,"50,236","60,989"
2008,OR,"51,727","60,476"
2009,OR,"49,098","57,603"
2010,OR,"50,602","58,404"
2011,OR,"51,526","57,653"
2012,OR,"51,775","56,730"
2013,OR,"48,999","52,905"
2014,OR,"58,875","62,509"
2015,OR,"60,834","64,478"
2016,OR,"59,135","61,879"
2017,OR,"62,498","64,021"
2018,OR,"69,165","69,165"
1984,PA,"20,346","46,966"
1985,PA,"22,877","51,056"
1986,PA,"23,807","52,217"
1987,PA,"25,424","53,909"
1988,PA,"26,742","54,727"
1989,PA,"28,690","56,254"
1990,PA,"29,005","54,199"
1991,PA,"30,367","54,752"
1992,PA,"29,882","52,571"
1993,PA,"30,995","53,188"
1994,PA,"32,066","53,900"
1995,PA,"34,524","56,667"
1996,PA,"34,899","55,796"
1997,PA,"37,517","58,713"
1998,PA,"39,015","60,241"
1999,PA,"37,758","57,085"
2000,PA,"42,176","61,671"
2001,PA,"43,499","61,845"
2002,PA,"42,498","59,484"
2003,PA,"42,933","58,759"
2004,PA,"44,106","58,776"
2005,PA,"46,300","59,678"
2006,PA,"48,477","60,523"
2007,PA,"48,437","58,805"
2008,PA,"51,402","60,096"
2009,PA,"48,172","56,517"
2010,PA,"48,314","55,763"
2011,PA,"49,910","55,845"
2012,PA,"51,904","56,871"
2013,PA,"55,156","59,552"
2014,PA,"55,173","58,579"
2015,PA,"60,389","64,006"
2016,PA,"60,979","63,809"
2017,PA,"61,285","62,779"
2018,PA,"64,524","64,524"
1984,RI,"21,612","49,888"
1985,RI,"24,625","54,957"
1986,RI,"26,540","58,212"
1987,RI,"28,292","59,991"
1988,RI,"29,842","61,071"
1989,RI,"30,124","59,066"
1990,RI,"31,968","59,736"
1991,RI,"30,836","55,598"
1992,RI,"30,432","53,538"
1993,RI,"33,509","57,502"
1994,RI,"31,928","53,668"
1995,RI,"35,359","58,037"
1996,RI,"36,986","59,133"
1997,RI,"34,797","54,456"
1998,RI,"40,686","62,821"
1999,RI,"42,719","64,585"
2000,RI,"42,197","61,702"
2001,RI,"45,723","65,007"
2002,RI,"42,417","59,371"
2003,RI,"44,711","61,192"
2004,RI,"47,935","63,879"
2005,RI,"49,484","63,782"
2006,RI,"53,736","67,088"
2007,RI,"54,210","65,814"
2008,RI,"53,241","62,246"
2009,RI,"51,634","60,578"
2010,RI,"51,623","59,582"
2011,RI,"49,033","54,864"
2012,RI,"56,065","61,431"
2013,RI,"56,323","60,812"
2014,RI,"58,633","62,252"
2015,RI,"55,701","59,038"
2016,RI,"61,528","64,383"
2017,RI,"65,401","66,995"
2018,RI,"62,266","62,266"
1984,SC,"20,309","46,881"
1985,SC,"20,036","44,715"
1986,SC,"21,968","48,184"
1987,SC,"25,049","53,114"
1988,SC,"25,533","52,253"
1989,SC,"23,798","46,662"
1990,SC,"28,735","53,695"
1991,SC,"27,463","49,516"
1992,SC,"27,578","48,517"
1993,SC,"26,053","44,707"
1994,SC,"29,846","50,168"
1995,SC,"29,071","47,716"
1996,SC,"34,665","55,422"
1997,SC,"34,262","53,619"
1998,SC,"33,267","51,366"
1999,SC,"36,462","55,125"
2000,SC,"37,570","54,936"
2001,SC,"37,736","53,652"
2002,SC,"37,812","52,925"
2003,SC,"38,479","52,663"
2004,SC,"38,691","51,560"
2005,SC,"40,230","51,854"
2006,SC,"39,617","49,461"
2007,SC,"44,213","53,677"
2008,SC,"42,155","49,285"
2009,SC,"41,101","48,221"
2010,SC,"41,698","48,127"
2011,SC,"40,084","44,850"
2012,SC,"44,401","48,650"
2013,SC,"43,563","47,035"
2014,SC,"44,929","47,702"
2015,SC,"46,360","49,137"
2016,SC,"54,336","56,858"
2017,SC,"54,537","55,866"
2018,SC,"57,444","57,444"
1984,SD,"19,409","44,803"
1985,SD,"18,142","40,488"
1986,SD,"19,898","43,643"
1987,SD,"21,151","44,849"
1988,SD,"22,294","45,624"
1989,SD,"24,108","47,270"
1990,SD,"24,571","45,914"
1991,SD,"24,639","44,425"
1992,SD,"26,259","46,197"
1993,SD,"27,737","47,597"
1994,SD,"29,733","49,978"
1995,SD,"29,578","48,548"
1996,SD,"29,526","47,206"
1997,SD,"29,694","46,470"
1998,SD,"32,786","50,623"
1999,SD,"35,828","54,167"
2000,SD,"36,475","53,335"
2001,SD,"39,671","56,403"
2002,SD,"37,873","53,011"
2003,SD,"39,522","54,090"
2004,SD,"41,107","54,780"
2005,SD,"43,151","55,620"
2006,SD,"45,427","56,715"
2007,SD,"46,418","56,354"
2008,SD,"51,600","60,328"
2009,SD,"45,826","53,764"
2010,SD,"45,352","52,344"
2011,SD,"47,223","52,838"
2012,SD,"49,415","54,144"
2013,SD,"53,413","57,670"
2014,SD,"53,053","56,328"
2015,SD,"55,065","58,364"
2016,SD,"57,450","60,116"
2017,SD,"56,914","58,301"
2018,SD,"59,463","59,463"
1984,TN,"16,782","38,739"
1985,TN,"17,778","39,676"
1986,TN,"18,256","40,042"
1987,TN,"21,179","44,908"
1988,TN,"20,856","42,682"
1989,TN,"22,611","44,335"
1990,TN,"22,592","42,216"
1991,TN,"24,453","44,089"
1992,TN,"24,318","42,782"
1993,TN,"25,102","43,075"
1994,TN,"28,639","48,140"
1995,TN,"29,015","47,624"
1996,TN,"30,790","49,227"
1997,TN,"30,636","47,944"
1998,TN,"34,091","52,638"
1999,TN,"36,522","55,216"
2000,TN,"34,096","49,856"
2001,TN,"35,783","50,875"
2002,TN,"37,030","51,831"
2003,TN,"37,523","51,355"
2004,TN,"38,072","50,735"
2005,TN,"39,406","50,792"
2006,TN,"40,693","50,804"
2007,TN,"41,195","50,013"
2008,TN,"39,702","46,417"
2009,TN,"40,517","47,535"
2010,TN,"38,591","44,541"
2011,TN,"42,279","47,306"
2012,TN,"42,995","47,110"
2013,TN,"43,361","46,817"
2014,TN,"43,716","46,415"
2015,TN,"47,330","50,165"
2016,TN,"51,344","53,727"
2017,TN,"55,306","56,654"
2018,TN,"56,060","56,060"
1984,TX,"23,024","53,148"
1985,TX,"23,743","52,988"
1986,TX,"24,162","52,996"
1987,TX,"24,721","52,419"
1988,TX,"24,963","51,086"
1989,TX,"25,886","50,756"
1990,TX,"28,228","52,747"
1991,TX,"27,733","50,003"
1992,TX,"27,953","49,177"
1993,TX,"28,727","49,296"
1994,TX,"30,755","51,696"
1995,TX,"32,039","52,588"
1996,TX,"33,072","52,875"
1997,TX,"35,075","54,891"
1998,TX,"35,783","55,251"
1999,TX,"38,688","58,491"
2000,TX,"38,609","56,456"
2001,TX,"40,860","58,093"
2002,TX,"40,149","56,196"
2003,TX,"39,271","53,747"
2004,TX,"41,397","55,166"
2005,TX,"41,422","53,391"
2006,TX,"43,307","54,068"
2007,TX,"46,053","55,911"
2008,TX,"46,490","54,353"
2009,TX,"47,475","55,699"
2010,TX,"47,266","54,554"
2011,TX,"49,047","54,879"
2012,TX,"51,926","56,896"
2013,TX,"51,406","55,503"
2014,TX,"53,875","57,201"
2015,TX,"56,473","59,856"
2016,TX,"58,146","60,844"
2017,TX,"60,092","61,557"
2018,TX,"59,785","59,785"
1984,UT,"23,057","53,224"
1985,UT,"25,238","56,325"
1986,UT,"26,281","57,644"
1987,UT,"26,529","56,252"
1988,UT,"26,313","53,849"
1989,UT,"30,717","60,229"
1990,UT,"30,142","56,324"
1991,UT,"28,016","50,513"
1992,UT,"34,251","60,257"
1993,UT,"35,786","61,409"
1994,UT,"35,716","60,035"
1995,UT,"36,480","59,877"
1996,UT,"37,038","59,216"
1997,UT,"42,775","66,941"
1998,UT,"44,299","68,400"
1999,UT,"46,050","69,621"
2000,UT,"47,550","69,529"
2001,UT,"47,342","67,309"
2002,UT,"47,861","66,991"
2003,UT,"49,275","67,439"
2004,UT,"50,871","67,791"
2005,UT,"54,813","70,651"
2006,UT,"54,628","68,202"
2007,UT,"53,529","64,987"
2008,UT,"62,537","73,115"
2009,UT,"58,491","68,623"
2010,UT,"56,701","65,443"
2011,UT,"55,493","62,092"
2012,UT,"58,341","63,924"
2013,UT,"61,047","65,913"
2014,UT,"63,383","67,296"
2015,UT,"66,258","70,227"
2016,UT,"67,481","70,613"
2017,UT,"69,789","71,490"
2018,UT,"77,067","77,067"
1984,VA,"26,525","61,229"
1985,VA,"28,429","63,446"
1986,VA,"29,715","65,176"
1987,VA,"29,996","63,604"
1988,VA,"32,648","66,814"
1989,VA,"34,118","66,897"
1990,VA,"35,073","65,538"
1991,VA,"36,137","65,156"
1992,VA,"38,198","67,201"
1993,VA,"36,433","62,519"
1994,VA,"37,647","63,281"
1995,VA,"36,222","59,454"
1996,VA,"39,211","62,690"
1997,VA,"42,957","67,226"
1998,VA,"43,354","66,941"
1999,VA,"45,693","69,081"
2000,VA,"47,163","68,964"
2001,VA,"50,241","71,431"
2002,VA,"49,631","69,468"
2003,VA,"54,783","74,977"
2004,VA,"51,141","68,151"
2005,VA,"51,914","66,915"
2006,VA,"57,119","71,312"
2007,VA,"59,161","71,824"
2008,VA,"61,985","72,469"
2009,VA,"60,501","70,981"
2010,VA,"60,367","69,675"
2011,VA,"62,616","70,062"
2012,VA,"64,632","70,818"
2013,VA,"65,907","71,160"
2014,VA,"66,155","70,239"
2015,VA,"61,486","65,169"
2016,VA,"66,451","69,535"
2017,VA,"70,811","72,537"
2018,VA,"77,151","77,151"
1984,VT,"22,578","52,118"
1985,VT,"26,000","58,025"
1986,VT,"24,599","53,954"
1987,VT,"25,415","53,890"
1988,VT,"28,988","59,324"
1989,VT,"31,295","61,362"
1990,VT,"31,098","58,110"
1991,VT,"29,155","52,567"
1992,VT,"32,755","57,625"
1993,VT,"31,065","53,308"
1994,VT,"35,802","60,180"
1995,VT,"33,824","55,518"
1996,VT,"32,358","51,734"
1997,VT,"35,053","54,857"
1998,VT,"39,372","60,792"
1999,VT,"41,584","62,869"
2000,VT,"39,594","57,896"
2001,VT,"40,794","57,999"
2002,VT,"42,999","60,186"
2003,VT,"43,261","59,208"
2004,VT,"47,329","63,071"
2005,VT,"50,704","65,355"
2006,VT,"51,981","64,897"
2007,VT,"47,390","57,534"
2008,VT,"50,706","59,283"
2009,VT,"52,318","61,381"
2010,VT,"55,928","64,551"
2011,VT,"51,862","58,029"
2012,VT,"55,582","60,901"
2013,VT,"65,513","70,735"
2014,VT,"60,708","64,455"
2015,VT,"59,494","63,058"
2016,VT,"60,837","63,660"
2017,VT,"63,682","65,234"
2018,VT,"70,066","70,066"
1984,WA,"25,017","57,748"
1985,WA,"24,000","53,562"
1986,WA,"26,881","58,960"
1987,WA,"27,319","57,928"
1988,WA,"32,327","66,157"
1989,WA,"31,961","62,668"
1990,WA,"32,112","60,005"
1991,WA,"33,970","61,249"
1992,WA,"33,900","59,639"
1993,WA,"35,655","61,184"
1994,WA,"33,533","56,366"
1995,WA,"35,568","58,380"
1996,WA,"36,676","58,637"
1997,WA,"44,562","69,738"
1998,WA,"47,421","73,220"
1999,WA,"45,473","68,749"
2000,WA,"42,525","62,182"
2001,WA,"42,490","60,411"
2002,WA,"45,183","63,243"
2003,WA,"47,508","65,020"
2004,WA,"49,922","66,527"
2005,WA,"50,646","65,280"
2006,WA,"54,723","68,321"
2007,WA,"58,080","70,512"
2008,WA,"56,631","66,210"
2009,WA,"60,392","70,853"
2010,WA,"56,163","64,822"
2011,WA,"56,850","63,610"
2012,WA,"62,187","68,139"
2013,WA,"63,922","69,017"
2014,WA,"59,068","62,714"
2015,WA,"67,243","71,271"
2016,WA,"70,310","73,573"
2017,WA,"71,540","73,284"
2018,WA,"79,726","79,726"
1984,WI,"20,743","47,882"
1985,WI,"23,246","51,879"
1986,WI,"26,430","57,970"
1987,WI,"26,369","55,913"
1988,WI,"29,575","60,525"
1989,WI,"29,123","57,103"
1990,WI,"30,711","57,387"
1991,WI,"31,133","56,134"
1992,WI,"33,308","58,598"
1993,WI,"31,766","54,511"
1994,WI,"35,388","59,484"
1995,WI,"40,955","67,222"
1996,WI,"40,001","63,953"
1997,WI,"39,595","61,965"
1998,WI,"41,327","63,811"
1999,WI,"45,667","69,042"
2000,WI,"45,088","65,929"
2001,WI,"45,346","64,471"
2002,WI,"45,903","64,250"
2003,WI,"46,269","63,324"
2004,WI,"45,732","60,943"
2005,WI,"44,650","57,552"
2006,WI,"51,692","64,536"
2007,WI,"51,277","62,253"
2008,WI,"51,200","59,860"
2009,WI,"51,237","60,112"
2010,WI,"50,351","58,114"
2011,WI,"52,058","58,248"
2012,WI,"53,079","58,159"
2013,WI,"51,726","55,849"
2014,WI,"58,080","61,665"
2015,WI,"55,425","58,745"
2016,WI,"59,817","62,593"
2017,WI,"63,482","65,029"
2018,WI,"62,629","62,629"
1984,WV,"16,843","38,880"
1985,WV,"15,983","35,670"
1986,WV,"16,464","36,111"
1987,WV,"17,207","36,486"
1988,WV,"19,353","39,606"
1989,WV,"21,677","42,503"
1990,WV,"22,137","41,366"
1991,WV,"23,147","41,735"
1992,WV,"20,271","35,662"
1993,WV,"22,421","38,475"
1994,WV,"23,564","39,609"
1995,WV,"24,880","40,837"
1996,WV,"25,247","40,365"
1997,WV,"27,488","43,018"
1998,WV,"26,704","41,232"
1999,WV,"29,297","44,293"
2000,WV,"29,411","43,006"
2001,WV,"29,673","42,188"
2002,WV,"29,359","41,094"
2003,WV,"32,763","44,840"
2004,WV,"33,373","44,473"
2005,WV,"36,445","46,976"
2006,WV,"38,419","47,965"
2007,WV,"42,091","51,101"
2008,WV,"37,994","44,420"
2009,WV,"40,490","47,504"
2010,WV,"42,777","49,372"
2011,WV,"41,821","46,794"
2012,WV,"43,553","47,721"
2013,WV,"43,069","46,502"
2014,WV,"39,552","41,993"
2015,WV,"42,824","45,389"
2016,WV,"44,354","46,412"
2017,WV,"46,957","48,102"
2018,WV,"50,573","50,573"
1984,WY,"23,816","54,976"
1985,WY,"22,081","49,279"
1986,WY,"23,559","51,673"
1987,WY,"27,590","58,502"
1988,WY,"26,419","54,066"
1989,WY,"29,521","57,884"
1990,WY,"29,460","55,050"
1991,WY,"29,050","52,378"
1992,WY,"30,209","53,146"
1993,WY,"29,442","50,523"
1994,WY,"33,140","55,705"
1995,WY,"31,529","51,751"
1996,WY,"30,953","49,487"
1997,WY,"33,423","52,306"
1998,WY,"35,250","54,428"
1999,WY,"37,248","56,314"
2000,WY,"39,629","57,947"
2001,WY,"39,719","56,471"
2002,WY,"39,763","55,656"
2003,WY,"42,555","58,241"
2004,WY,"45,397","60,497"
2005,WY,"44,718","57,639"
2006,WY,"47,041","58,730"
2007,WY,"48,744","59,178"
2008,WY,"53,337","62,359"
2009,WY,"52,470","61,559"
2010,WY,"52,201","60,249"
2011,WY,"54,509","60,991"
2012,WY,"57,512","63,016"
2013,WY,"67,441","72,817"
2014,WY,"55,690","59,128"
2015,WY,"60,925","64,575"
2016,WY,"57,829","60,513"
2017,WY,"59,536","60,987"
2018,WY,"62,539","62,539"
