"year","period","periodName","value","state","quarter","annual"
1976,"M12","December","8.7","AK",4,"1"
1977,"M12","December","10.8","AK",4,"1"
1978,"M12","December","10.1","AK",4,"1"
1979,"M12","December","9.3","AK",4,"1"
1980,"M12","December","9.6","AK",4,"1"
1981,"M12","December","9.9","AK",4,"1"
1982,"M12","December","10.3","AK",4,"1"
1983,"M12","December","10.1","AK",4,"1"
1984,"M12","December","9.3","AK",4,"1"
1985,"M12","December","10.1","AK",4,"1"
1986,"M12","December","11.0","AK",4,"1"
1987,"M12","December","9.5","AK",4,"1"
1988,"M12","December","8.0","AK",4,"1"
1989,"M12","December","7.1","AK",4,"1"
1990,"M12","December","7.5","AK",4,"1"
1991,"M12","December","9.5","AK",4,"1"
1992,"M12","December","8.3","AK",4,"1"
1993,"M12","December","7.6","AK",4,"1"
1994,"M12","December","7.5","AK",4,"1"
1995,"M12","December","7.9","AK",4,"1"
1996,"M12","December","7.8","AK",4,"1"
1997,"M12","December","6.7","AK",4,"1"
1998,"M12","December","6.5","AK",4,"1"
1999,"M12","December","6.4","AK",4,"1"
2000,"M12","December","6.5","AK",4,"1"
2001,"M12","December","6.8","AK",4,"1"
2002,"M12","December","7.7","AK",4,"1"
2003,"M12","December","8.0","AK",4,"1"
2004,"M12","December","7.3","AK",4,"1"
2005,"M12","December","7.1","AK",4,"1"
2006,"M12","December","6.6","AK",4,"1"
2007,"M12","December","6.5","AK",4,"1"
2008,"M12","December","7.0","AK",4,"1"
2009,"M12","December","8.0","AK",4,"1"
2010,"M12","December","8.0","AK",4,"1"
2011,"M12","December","7.8","AK",4,"1"
2012,"M12","December","7.2","AK",4,"1"
2013,"M12","December","7.0","AK",4,"1"
2014,"M12","December","6.6","AK",4,"1"
2015,"M12","December","6.8","AK",4,"1"
2016,"M12","December","7.1","AK",4,"1"
2017,"M12","December","7.0","AK",4,"1"
2018,"M12","December","6.3","AK",4,"1"
2019,"M12","December","6.1","AK",4,"1"
1976,"M12","December","6.6","AL",4,"1"
1977,"M12","December","6.0","AL",4,"1"
1978,"M12","December","6.5","AL",4,"1"
1979,"M12","December","6.7","AL",4,"1"
1980,"M12","December","9.0","AL",4,"1"
1981,"M12","December","11.8","AL",4,"1"
1982,"M12","December","15.3","AL",4,"1"
1983,"M12","December","11.8","AL",4,"1"
1984,"M12","December","10.1","AL",4,"1"
1985,"M12","December","8.7","AL",4,"1"
1986,"M12","December","9.0","AL",4,"1"
1987,"M12","December","7.0","AL",4,"1"
1988,"M12","December","7.1","AL",4,"1"
1989,"M12","December","6.2","AL",4,"1"
1990,"M12","December","6.6","AL",4,"1"
1991,"M12","December","7.1","AL",4,"1"
1992,"M12","December","7.1","AL",4,"1"
1993,"M12","December","6.2","AL",4,"1"
1994,"M12","December","5.3","AL",4,"1"
1995,"M12","December","5.0","AL",4,"1"
1996,"M12","December","4.7","AL",4,"1"
1997,"M12","December","4.0","AL",4,"1"
1998,"M12","December","4.1","AL",4,"1"
1999,"M12","December","4.4","AL",4,"1"
2000,"M12","December","4.2","AL",4,"1"
2001,"M12","December","5.8","AL",4,"1"
2002,"M12","December","5.7","AL",4,"1"
2003,"M12","December","5.7","AL",4,"1"
2004,"M12","December","4.9","AL",4,"1"
2005,"M12","December","3.9","AL",4,"1"
2006,"M12","December","3.7","AL",4,"1"
2007,"M12","December","4.3","AL",4,"1"
2008,"M12","December","7.6","AL",4,"1"
2009,"M12","December","11.4","AL",4,"1"
2010,"M12","December","9.8","AL",4,"1"
2011,"M12","December","7.9","AL",4,"1"
2012,"M12","December","7.2","AL",4,"1"
2013,"M12","December","6.8","AL",4,"1"
2014,"M12","December","5.8","AL",4,"1"
2015,"M12","December","5.8","AL",4,"1"
2016,"M12","December","5.4","AL",4,"1"
2017,"M12","December","3.7","AL",4,"1"
2018,"M12","December","3.5","AL",4,"1"
2019,"M12","December","2.5","AL",4,"1"
1976,"M12","December","6.4","AR",4,"1"
1977,"M12","December","6.1","AR",4,"1"
1978,"M12","December","6.3","AR",4,"1"
1979,"M12","December","5.8","AR",4,"1"
1980,"M12","December","8.0","AR",4,"1"
1981,"M12","December","9.2","AR",4,"1"
1982,"M12","December","10.2","AR",4,"1"
1983,"M12","December","9.1","AR",4,"1"
1984,"M12","December","8.3","AR",4,"1"
1985,"M12","December","8.6","AR",4,"1"
1986,"M12","December","8.3","AR",4,"1"
1987,"M12","December","7.6","AR",4,"1"
1988,"M12","December","7.1","AR",4,"1"
1989,"M12","December","6.6","AR",4,"1"
1990,"M12","December","7.2","AR",4,"1"
1991,"M12","December","7.4","AR",4,"1"
1992,"M12","December","6.5","AR",4,"1"
1993,"M12","December","5.6","AR",4,"1"
1994,"M12","December","4.7","AR",4,"1"
1995,"M12","December","4.8","AR",4,"1"
1996,"M12","December","5.2","AR",4,"1"
1997,"M12","December","5.1","AR",4,"1"
1998,"M12","December","4.8","AR",4,"1"
1999,"M12","December","4.3","AR",4,"1"
2000,"M12","December","4.1","AR",4,"1"
2001,"M12","December","5.3","AR",4,"1"
2002,"M12","December","5.4","AR",4,"1"
2003,"M12","December","5.6","AR",4,"1"
2004,"M12","December","5.4","AR",4,"1"
2005,"M12","December","4.9","AR",4,"1"
2006,"M12","December","5.0","AR",4,"1"
2007,"M12","December","5.2","AR",4,"1"
2008,"M12","December","6.6","AR",4,"1"
2009,"M12","December","8.1","AR",4,"1"
2010,"M12","December","8.2","AR",4,"1"
2011,"M12","December","7.8","AR",4,"1"
2012,"M12","December","7.4","AR",4,"1"
2013,"M12","December","6.7","AR",4,"1"
2014,"M12","December","5.5","AR",4,"1"
2015,"M12","December","4.2","AR",4,"1"
2016,"M12","December","3.6","AR",4,"1"
2017,"M12","December","3.6","AR",4,"1"
2018,"M12","December","3.5","AR",4,"1"
2019,"M12","December","3.4","AR",4,"1"
1976,"M12","December","8.8","AZ",4,"1"
1977,"M12","December","6.2","AZ",4,"1"
1978,"M12","December","5.1","AZ",4,"1"
1979,"M12","December","4.6","AZ",4,"1"
1980,"M12","December","5.4","AZ",4,"1"
1981,"M12","December","7.0","AZ",4,"1"
1982,"M12","December","11.2","AZ",4,"1"
1983,"M12","December","5.4","AZ",4,"1"
1984,"M12","December","5.3","AZ",4,"1"
1985,"M12","December","5.9","AZ",4,"1"
1986,"M12","December","6.5","AZ",4,"1"
1987,"M12","December","5.7","AZ",4,"1"
1988,"M12","December","5.7","AZ",4,"1"
1989,"M12","December","4.5","AZ",4,"1"
1990,"M12","December","4.8","AZ",4,"1"
1991,"M12","December","6.8","AZ",4,"1"
1992,"M12","December","6.7","AZ",4,"1"
1993,"M12","December","5.6","AZ",4,"1"
1994,"M12","December","5.1","AZ",4,"1"
1995,"M12","December","4.9","AZ",4,"1"
1996,"M12","December","5.0","AZ",4,"1"
1997,"M12","December","3.9","AZ",4,"1"
1998,"M12","December","4.0","AZ",4,"1"
1999,"M12","December","3.7","AZ",4,"1"
2000,"M12","December","3.5","AZ",4,"1"
2001,"M12","December","5.3","AZ",4,"1"
2002,"M12","December","5.7","AZ",4,"1"
2003,"M12","December","4.9","AZ",4,"1"
2004,"M12","December","4.4","AZ",4,"1"
2005,"M12","December","4.2","AZ",4,"1"
2006,"M12","December","3.6","AZ",4,"1"
2007,"M12","December","4.2","AZ",4,"1"
2008,"M12","December","7.8","AZ",4,"1"
2009,"M12","December","10.6","AZ",4,"1"
2010,"M12","December","9.6","AZ",4,"1"
2011,"M12","December","8.5","AZ",4,"1"
2012,"M12","December","7.7","AZ",4,"1"
2013,"M12","December","7.0","AZ",4,"1"
2014,"M12","December","6.1","AZ",4,"1"
2015,"M12","December","5.4","AZ",4,"1"
2016,"M12","December","4.8","AZ",4,"1"
2017,"M12","December","4.5","AZ",4,"1"
2018,"M12","December","4.7","AZ",4,"1"
2019,"M12","December","4.2","AZ",4,"1"
1976,"M12","December","9.1","CA",4,"1"
1977,"M12","December","7.1","CA",4,"1"
1978,"M12","December","6.4","CA",4,"1"
1979,"M12","December","5.8","CA",4,"1"
1980,"M12","December","6.5","CA",4,"1"
1981,"M12","December","8.2","CA",4,"1"
1982,"M12","December","10.8","CA",4,"1"
1983,"M12","December","8.2","CA",4,"1"
1984,"M12","December","7.1","CA",4,"1"
1985,"M12","December","6.5","CA",4,"1"
1986,"M12","December","6.0","CA",4,"1"
1987,"M12","December","5.0","CA",4,"1"
1988,"M12","December","4.8","CA",4,"1"
1989,"M12","December","4.9","CA",4,"1"
1990,"M12","December","6.6","CA",4,"1"
1991,"M12","December","8.0","CA",4,"1"
1992,"M12","December","9.5","CA",4,"1"
1993,"M12","December","8.7","CA",4,"1"
1994,"M12","December","7.3","CA",4,"1"
1995,"M12","December","7.3","CA",4,"1"
1996,"M12","December","6.5","CA",4,"1"
1997,"M12","December","5.8","CA",4,"1"
1998,"M12","December","5.4","CA",4,"1"
1999,"M12","December","4.7","CA",4,"1"
2000,"M12","December","4.4","CA",4,"1"
2001,"M12","December","6.1","CA",4,"1"
2002,"M12","December","6.7","CA",4,"1"
2003,"M12","December","6.2","CA",4,"1"
2004,"M12","December","5.7","CA",4,"1"
2005,"M12","December","4.9","CA",4,"1"
2006,"M12","December","4.7","CA",4,"1"
2007,"M12","December","5.9","CA",4,"1"
2008,"M12","December","9.0","CA",4,"1"
2009,"M12","December","11.8","CA",4,"1"
2010,"M12","December","12.1","CA",4,"1"
2011,"M12","December","11.0","CA",4,"1"
2012,"M12","December","9.6","CA",4,"1"
2013,"M12","December","8.0","CA",4,"1"
2014,"M12","December","6.6","CA",4,"1"
2015,"M12","December","5.6","CA",4,"1"
2016,"M12","December","5.1","CA",4,"1"
2017,"M12","December","4.3","CA",4,"1"
2018,"M12","December","4.2","CA",4,"1"
2019,"M12","December","3.7","CA",4,"1"
1976,"M12","December","6.1","CO",4,"1"
1977,"M12","December","5.7","CO",4,"1"
1978,"M12","December","4.7","CO",4,"1"
1979,"M12","December","4.5","CO",4,"1"
1980,"M12","December","5.8","CO",4,"1"
1981,"M12","December","5.7","CO",4,"1"
1982,"M12","December","8.3","CO",4,"1"
1983,"M12","December","5.5","CO",4,"1"
1984,"M12","December","5.5","CO",4,"1"
1985,"M12","December","6.3","CO",4,"1"
1986,"M12","December","8.2","CO",4,"1"
1987,"M12","December","6.9","CO",4,"1"
1988,"M12","December","5.7","CO",4,"1"
1989,"M12","December","5.5","CO",4,"1"
1990,"M12","December","4.9","CO",4,"1"
1991,"M12","December","5.5","CO",4,"1"
1992,"M12","December","6.0","CO",4,"1"
1993,"M12","December","4.4","CO",4,"1"
1994,"M12","December","3.4","CO",4,"1"
1995,"M12","December","3.9","CO",4,"1"
1996,"M12","December","3.6","CO",4,"1"
1997,"M12","December","3.2","CO",4,"1"
1998,"M12","December","3.1","CO",4,"1"
1999,"M12","December","2.7","CO",4,"1"
2000,"M12","December","2.5","CO",4,"1"
2001,"M12","December","5.1","CO",4,"1"
2002,"M12","December","5.6","CO",4,"1"
2003,"M12","December","5.7","CO",4,"1"
2004,"M12","December","5.2","CO",4,"1"
2005,"M12","December","4.7","CO",4,"1"
2006,"M12","December","3.7","CO",4,"1"
2007,"M12","December","4.0","CO",4,"1"
2008,"M12","December","5.6","CO",4,"1"
2009,"M12","December","8.0","CO",4,"1"
2010,"M12","December","8.8","CO",4,"1"
2011,"M12","December","8.1","CO",4,"1"
2012,"M12","December","7.3","CO",4,"1"
2013,"M12","December","5.9","CO",4,"1"
2014,"M12","December","4.1","CO",4,"1"
2015,"M12","December","3.4","CO",4,"1"
2016,"M12","December","2.7","CO",4,"1"
2017,"M12","December","2.8","CO",4,"1"
2018,"M12","December","3.2","CO",4,"1"
2019,"M12","December","2.4","CO",4,"1"
1976,"M12","December","7.8","CT",4,"1"
1977,"M12","December","5.5","CT",4,"1"
1978,"M12","December","4.9","CT",4,"1"
1979,"M12","December","4.6","CT",4,"1"
1980,"M12","December","5.7","CT",4,"1"
1981,"M12","December","6.2","CT",4,"1"
1982,"M12","December","6.7","CT",4,"1"
1983,"M12","December","4.7","CT",4,"1"
1984,"M12","December","4.4","CT",4,"1"
1985,"M12","December","3.7","CT",4,"1"
1986,"M12","December","3.4","CT",4,"1"
1987,"M12","December","2.6","CT",4,"1"
1988,"M12","December","2.6","CT",4,"1"
1989,"M12","December","4.3","CT",4,"1"
1990,"M12","December","5.1","CT",4,"1"
1991,"M12","December","7.1","CT",4,"1"
1992,"M12","December","7.3","CT",4,"1"
1993,"M12","December","5.2","CT",4,"1"
1994,"M12","December","5.1","CT",4,"1"
1995,"M12","December","4.8","CT",4,"1"
1996,"M12","December","5.3","CT",4,"1"
1997,"M12","December","3.5","CT",4,"1"
1998,"M12","December","2.4","CT",4,"1"
1999,"M12","December","2.3","CT",4,"1"
2000,"M12","December","1.8","CT",4,"1"
2001,"M12","December","2.8","CT",4,"1"
2002,"M12","December","4.7","CT",4,"1"
2003,"M12","December","4.6","CT",4,"1"
2004,"M12","December","4.2","CT",4,"1"
2005,"M12","December","4.0","CT",4,"1"
2006,"M12","December","3.7","CT",4,"1"
2007,"M12","December","4.4","CT",4,"1"
2008,"M12","December","6.1","CT",4,"1"
2009,"M12","December","8.3","CT",4,"1"
2010,"M12","December","8.7","CT",4,"1"
2011,"M12","December","7.7","CT",4,"1"
2012,"M12","December","7.6","CT",4,"1"
2013,"M12","December","6.7","CT",4,"1"
2014,"M12","December","5.6","CT",4,"1"
2015,"M12","December","5.0","CT",4,"1"
2016,"M12","December","4.3","CT",4,"1"
2017,"M12","December","4.0","CT",4,"1"
2018,"M12","December","3.4","CT",4,"1"
2019,"M12","December","3.2","CT",4,"1"
1976,"M12","December","9.0","DE",4,"1"
1977,"M12","December","6.8","DE",4,"1"
1978,"M12","December","6.5","DE",4,"1"
1979,"M12","December","6.5","DE",4,"1"
1980,"M12","December","7.0","DE",4,"1"
1981,"M12","December","7.8","DE",4,"1"
1982,"M12","December","7.4","DE",4,"1"
1983,"M12","December","6.3","DE",4,"1"
1984,"M12","December","5.2","DE",4,"1"
1985,"M12","December","3.8","DE",4,"1"
1986,"M12","December","2.6","DE",4,"1"
1987,"M12","December","2.6","DE",4,"1"
1988,"M12","December","2.7","DE",4,"1"
1989,"M12","December","3.2","DE",4,"1"
1990,"M12","December","6.3","DE",4,"1"
1991,"M12","December","5.1","DE",4,"1"
1992,"M12","December","4.4","DE",4,"1"
1993,"M12","December","4.9","DE",4,"1"
1994,"M12","December","3.6","DE",4,"1"
1995,"M12","December","4.4","DE",4,"1"
1996,"M12","December","4.6","DE",4,"1"
1997,"M12","December","3.2","DE",4,"1"
1998,"M12","December","2.8","DE",4,"1"
1999,"M12","December","3.1","DE",4,"1"
2000,"M12","December","3.5","DE",4,"1"
2001,"M12","December","3.3","DE",4,"1"
2002,"M12","December","3.6","DE",4,"1"
2003,"M12","December","3.5","DE",4,"1"
2004,"M12","December","3.6","DE",4,"1"
2005,"M12","December","3.8","DE",4,"1"
2006,"M12","December","2.9","DE",4,"1"
2007,"M12","December","3.4","DE",4,"1"
2008,"M12","December","6.3","DE",4,"1"
2009,"M12","December","8.4","DE",4,"1"
2010,"M12","December","7.6","DE",4,"1"
2011,"M12","December","6.7","DE",4,"1"
2012,"M12","December","6.8","DE",4,"1"
2013,"M12","December","5.7","DE",4,"1"
2014,"M12","December","4.6","DE",4,"1"
2015,"M12","December","4.2","DE",4,"1"
2016,"M12","December","4.1","DE",4,"1"
2017,"M12","December","3.8","DE",4,"1"
2018,"M12","December","3.1","DE",4,"1"
2019,"M12","December","3.5","DE",4,"1"
1976,"M12","December","8.7","FL",4,"1"
1977,"M12","December","6.6","FL",4,"1"
1978,"M12","December","6.2","FL",4,"1"
1979,"M12","December","5.0","FL",4,"1"
1980,"M12","December","5.8","FL",4,"1"
1981,"M12","December","7.2","FL",4,"1"
1982,"M12","December","9.1","FL",4,"1"
1983,"M12","December","6.8","FL",4,"1"
1984,"M12","December","5.8","FL",4,"1"
1985,"M12","December","5.3","FL",4,"1"
1986,"M12","December","5.2","FL",4,"1"
1987,"M12","December","4.7","FL",4,"1"
1988,"M12","December","4.9","FL",4,"1"
1989,"M12","December","5.3","FL",4,"1"
1990,"M12","December","6.4","FL",4,"1"
1991,"M12","December","7.9","FL",4,"1"
1992,"M12","December","7.2","FL",4,"1"
1993,"M12","December","6.4","FL",4,"1"
1994,"M12","December","5.2","FL",4,"1"
1995,"M12","December","5.1","FL",4,"1"
1996,"M12","December","4.6","FL",4,"1"
1997,"M12","December","4.2","FL",4,"1"
1998,"M12","December","3.6","FL",4,"1"
1999,"M12","December","3.3","FL",4,"1"
2000,"M12","December","3.3","FL",4,"1"
2001,"M12","December","5.8","FL",4,"1"
2002,"M12","December","5.2","FL",4,"1"
2003,"M12","December","4.5","FL",4,"1"
2004,"M12","December","4.2","FL",4,"1"
2005,"M12","December","3.0","FL",4,"1"
2006,"M12","December","3.2","FL",4,"1"
2007,"M12","December","4.7","FL",4,"1"
2008,"M12","December","8.1","FL",4,"1"
2009,"M12","December","11.1","FL",4,"1"
2010,"M12","December","10.7","FL",4,"1"
2011,"M12","December","9.0","FL",4,"1"
2012,"M12","December","7.8","FL",4,"1"
2013,"M12","December","6.3","FL",4,"1"
2014,"M12","December","5.6","FL",4,"1"
2015,"M12","December","4.9","FL",4,"1"
2016,"M12","December","4.5","FL",4,"1"
2017,"M12","December","3.8","FL",4,"1"
2018,"M12","December","3.4","FL",4,"1"
2019,"M12","December","2.5","FL",4,"1"
1976,"M12","December","7.9","GA",4,"1"
1977,"M12","December","5.2","GA",4,"1"
1978,"M12","December","5.4","GA",4,"1"
1979,"M12","December","4.7","GA",4,"1"
1980,"M12","December","5.1","GA",4,"1"
1981,"M12","December","6.9","GA",4,"1"
1982,"M12","December","8.6","GA",4,"1"
1983,"M12","December","6.4","GA",4,"1"
1984,"M12","December","5.8","GA",4,"1"
1985,"M12","December","5.4","GA",4,"1"
1986,"M12","December","5.2","GA",4,"1"
1987,"M12","December","5.3","GA",4,"1"
1988,"M12","December","5.1","GA",4,"1"
1989,"M12","December","4.9","GA",4,"1"
1990,"M12","December","5.6","GA",4,"1"
1991,"M12","December","4.6","GA",4,"1"
1992,"M12","December","6.3","GA",4,"1"
1993,"M12","December","5.2","GA",4,"1"
1994,"M12","December","4.0","GA",4,"1"
1995,"M12","December","4.4","GA",4,"1"
1996,"M12","December","4.7","GA",4,"1"
1997,"M12","December","4.1","GA",4,"1"
1998,"M12","December","3.7","GA",4,"1"
1999,"M12","December","3.5","GA",4,"1"
2000,"M12","December","3.0","GA",4,"1"
2001,"M12","December","4.7","GA",4,"1"
2002,"M12","December","4.9","GA",4,"1"
2003,"M12","December","4.0","GA",4,"1"
2004,"M12","December","5.1","GA",4,"1"
2005,"M12","December","4.9","GA",4,"1"
2006,"M12","December","4.3","GA",4,"1"
2007,"M12","December","5.0","GA",4,"1"
2008,"M12","December","8.1","GA",4,"1"
2009,"M12","December","10.4","GA",4,"1"
2010,"M12","December","10.6","GA",4,"1"
2011,"M12","December","9.7","GA",4,"1"
2012,"M12","December","8.7","GA",4,"1"
2013,"M12","December","7.4","GA",4,"1"
2014,"M12","December","6.2","GA",4,"1"
2015,"M12","December","5.4","GA",4,"1"
2016,"M12","December","5.1","GA",4,"1"
2017,"M12","December","4.2","GA",4,"1"
2018,"M12","December","3.8","GA",4,"1"
2019,"M12","December","2.9","GA",4,"1"
1976,"M12","December","7.6","HI",4,"1"
1977,"M12","December","7.4","HI",4,"1"
1978,"M12","December","6.0","HI",4,"1"
1979,"M12","December","4.8","HI",4,"1"
1980,"M12","December","4.7","HI",4,"1"
1981,"M12","December","5.3","HI",4,"1"
1982,"M12","December","5.9","HI",4,"1"
1983,"M12","December","5.3","HI",4,"1"
1984,"M12","December","5.3","HI",4,"1"
1985,"M12","December","4.7","HI",4,"1"
1986,"M12","December","3.5","HI",4,"1"
1987,"M12","December","2.8","HI",4,"1"
1988,"M12","December","2.6","HI",4,"1"
1989,"M12","December","2.1","HI",4,"1"
1990,"M12","December","1.9","HI",4,"1"
1991,"M12","December","2.9","HI",4,"1"
1992,"M12","December","4.3","HI",4,"1"
1993,"M12","December","4.2","HI",4,"1"
1994,"M12","December","4.7","HI",4,"1"
1995,"M12","December","5.4","HI",4,"1"
1996,"M12","December","5.7","HI",4,"1"
1997,"M12","December","5.6","HI",4,"1"
1998,"M12","December","5.5","HI",4,"1"
1999,"M12","December","4.4","HI",4,"1"
2000,"M12","December","3.6","HI",4,"1"
2001,"M12","December","4.9","HI",4,"1"
2002,"M12","December","3.2","HI",4,"1"
2003,"M12","December","3.6","HI",4,"1"
2004,"M12","December","2.8","HI",4,"1"
2005,"M12","December","2.3","HI",4,"1"
2006,"M12","December","1.9","HI",4,"1"
2007,"M12","December","2.9","HI",4,"1"
2008,"M12","December","5.6","HI",4,"1"
2009,"M12","December","6.8","HI",4,"1"
2010,"M12","December","6.4","HI",4,"1"
2011,"M12","December","6.4","HI",4,"1"
2012,"M12","December","4.8","HI",4,"1"
2013,"M12","December","4.4","HI",4,"1"
2014,"M12","December","3.7","HI",4,"1"
2015,"M12","December","2.8","HI",4,"1"
2016,"M12","December","2.4","HI",4,"1"
2017,"M12","December","2.0","HI",4,"1"
2018,"M12","December","2.4","HI",4,"1"
2019,"M12","December","2.2","HI",4,"1"
1976,"M12","December","4.1","IA",4,"1"
1977,"M12","December","3.8","IA",4,"1"
1978,"M12","December","4.3","IA",4,"1"
1979,"M12","December","4.7","IA",4,"1"
1980,"M12","December","6.2","IA",4,"1"
1981,"M12","December","7.7","IA",4,"1"
1982,"M12","December","9.1","IA",4,"1"
1983,"M12","December","7.2","IA",4,"1"
1984,"M12","December","7.4","IA",4,"1"
1985,"M12","December","7.3","IA",4,"1"
1986,"M12","December","6.3","IA",4,"1"
1987,"M12","December","4.9","IA",4,"1"
1988,"M12","December","4.3","IA",4,"1"
1989,"M12","December","4.2","IA",4,"1"
1990,"M12","December","4.8","IA",4,"1"
1991,"M12","December","4.9","IA",4,"1"
1992,"M12","December","4.4","IA",4,"1"
1993,"M12","December","3.8","IA",4,"1"
1994,"M12","December","3.5","IA",4,"1"
1995,"M12","December","3.5","IA",4,"1"
1996,"M12","December","3.5","IA",4,"1"
1997,"M12","December","3.0","IA",4,"1"
1998,"M12","December","2.8","IA",4,"1"
1999,"M12","December","2.5","IA",4,"1"
2000,"M12","December","2.9","IA",4,"1"
2001,"M12","December","3.8","IA",4,"1"
2002,"M12","December","4.2","IA",4,"1"
2003,"M12","December","4.5","IA",4,"1"
2004,"M12","December","4.6","IA",4,"1"
2005,"M12","December","4.4","IA",4,"1"
2006,"M12","December","3.8","IA",4,"1"
2007,"M12","December","3.8","IA",4,"1"
2008,"M12","December","5.4","IA",4,"1"
2009,"M12","December","6.5","IA",4,"1"
2010,"M12","December","5.9","IA",4,"1"
2011,"M12","December","5.5","IA",4,"1"
2012,"M12","December","5.0","IA",4,"1"
2013,"M12","December","4.4","IA",4,"1"
2014,"M12","December","4.1","IA",4,"1"
2015,"M12","December","3.8","IA",4,"1"
2016,"M12","December","3.5","IA",4,"1"
2017,"M12","December","2.9","IA",4,"1"
2018,"M12","December","2.7","IA",4,"1"
2019,"M12","December","2.9","IA",4,"1"
1976,"M12","December","5.6","ID",4,"1"
1977,"M12","December","5.4","ID",4,"1"
1978,"M12","December","6.1","ID",4,"1"
1979,"M12","December","6.3","ID",4,"1"
1980,"M12","December","7.4","ID",4,"1"
1981,"M12","December","9.3","ID",4,"1"
1982,"M12","December","10.4","ID",4,"1"
1983,"M12","December","8.0","ID",4,"1"
1984,"M12","December","7.5","ID",4,"1"
1985,"M12","December","8.3","ID",4,"1"
1986,"M12","December","8.3","ID",4,"1"
1987,"M12","December","7.0","ID",4,"1"
1988,"M12","December","5.5","ID",4,"1"
1989,"M12","December","5.2","ID",4,"1"
1990,"M12","December","6.0","ID",4,"1"
1991,"M12","December","6.5","ID",4,"1"
1992,"M12","December","6.0","ID",4,"1"
1993,"M12","December","5.6","ID",4,"1"
1994,"M12","December","5.7","ID",4,"1"
1995,"M12","December","5.5","ID",4,"1"
