state,year,poverty
MT,2000,14.1
NE,2000,8.6
NV,2000,8.8
NH,2000,4.5
NJ,2000,7.3
NM,2000,17.5
NY,2000,13.9
NC,2000,12.5
ND,2000,10.4
OH,2000,10
OK,2000,14.9
OR,2000,10.9
PA,2000,8.6
RI,2000,10.2
SC,2000,11.1
SD,2000,10.7
TN,2000,13.5
TX,2000,15.5
UT,2000,7.6
VT,2000,10
VA,2000,8.3
WA,2000,10.8
WV,2000,14.7
WI,2000,9.3
WY,2000,10.8
AL,1999,15.2
AK,1999,7.6
AZ,1999,12.2
AR,1999,14.7
CA,1999,14
CO,1999,8.5
CT,1999,7.2
DE,1999,10.4
FL,1999,12.4
GA,1999,12.8
HI,1999,10.8
ID,1999,14.1
IL,1999,9.9
IN,1999,6.7
IA,1999,7.4
KS,1999,12.3
KY,1999,12.1
LA,1999,19.2
ME,1999,10.6
MD,1999,7.3
MA,1999,11.8
MI,1999,9.7
MN,1999,7.3
MS,1999,16.2
MO,1999,11.7
MT,1999,15.8
NE,1999,11
NV,1999,11.3
NH,1999,7.6
NJ,1999,7.8
NM,1999,20.9
NY,1999,14.2
NC,1999,13.8
ND,1999,13.1
OH,1999,12
OK,1999,12.8
OR,1999,12.6
PA,1999,9.3
RI,1999,10
SC,1999,11.7
SD,1999,7.7
TN,1999,11.9
TX,1999,15.2
UT,1999,5.7
VT,1999,9.6
VA,1999,7.9
WA,1999,9.6
WV,1999,15.7
WI,1999,8.6
WY,1999,11.6
AL,1998,14.5
AK,1998,9.4
AZ,1998,16.6
AR,1998,14.7
CA,1998,15.4
CO,1998,9.2
CT,1998,9.5
DE,1998,10.3
FL,1998,13.1
GA,1998,13.5
HI,1998,10.9
ID,1998,13
IL,1998,10.1
IN,1998,9.4
IA,1998,9.1
KS,1998,9.6
KY,1998,13.5
LA,1998,19.1
ME,1998,10.4
MD,1998,7.2
MA,1998,8.7
MI,1998,11
MN,1998,10.3
MS,1998,17.6
MO,1998,9.8
MT,1998,16.6
NE,1998,12.3
NV,1998,10.6
NH,1998,9.8
NJ,1998,8.6
NM,1998,20.4
NY,1998,16.7
NC,1998,14
ND,1998,15.1
OH,1998,11.2
OK,1998,14.1
OR,1998,15
PA,1998,11.3
RI,1998,11.6
SC,1998,13.7
SD,1998,10.8
TN,1998,13.4
TX,1998,15.1
UT,1998,9
VT,1998,9.9
VA,1998,8.8
WA,1998,8.9
WV,1998,17.8
WI,1998,8.8
WY,1998,10.6
AL,1997,15.7
AK,1997,8.8
AZ,1997,17.2
AR,1997,19.7
CA,1997,16.6
CO,1997,8.2
CT,1997,8.6
DE,1997,9.6
FL,1997,14.3
GA,1997,14.5
HI,1997,13.9
ID,1997,14.7
IL,1997,11.2
IN,1997,8.8
IA,1997,9.6
KS,1997,9.7
KY,1997,15.9
LA,1997,16.3
ME,1997,10.1
MD,1997,8.4
MA,1997,12.2
MI,1997,10.3
MN,1997,9.6
MS,1997,16.7
MO,1997,11.8
MT,1997,15.6
NE,1997,9.8
NV,1997,11
NH,1997,9.1
NJ,1997,9.3
NM,1997,21.2
NY,1997,16.5
NC,1997,11.4
ND,1997,13.6
OH,1997,11
OK,1997,13.7
OR,1997,11.6
PA,1997,11.2
RI,1997,12.7
SC,1997,13.1
SD,1997,16.5
TN,1997,14.3
TX,1997,16.7
UT,1997,8.9
VT,1997,9.3
VA,1997,12.7
WA,1997,9.2
WV,1997,16.4
WI,1997,8.2
WY,1997,13.5
AL,1996,14
AK,1996,8.2
AZ,1996,20.5
AR,1996,17.2
CA,1996,16.9
CO,1996,10.6
CT,1996,11.7
DE,1996,8.6
FL,1996,14.2
GA,1996,14.8
HI,1996,12.1
ID,1996,11.9
IL,1996,12.1
IN,1996,7.5
IA,1996,9.6
KS,1996,11.2
KY,1996,17
LA,1996,20.5
ME,1996,11.2
MD,1996,10.3
MA,1996,10.1
MI,1996,11.2
MN,1996,9.8
MS,1996,20.6
MO,1996,9.5
MT,1996,17
NE,1996,10.2
NV,1996,8.1
NH,1996,6.4
NJ,1996,9.2
NM,1996,25.5
NY,1996,16.7
NC,1996,12.2
ND,1996,11
OH,1996,12.7
OK,1996,16.6
OR,1996,11.8
PA,1996,11.6
RI,1996,11
SC,1996,13
SD,1996,11.8
TN,1996,15.9
TX,1996,16.6
UT,1996,7.7
VT,1996,12.6
VA,1996,12.3
WA,1996,11.9
WV,1996,18.5
WI,1996,8.8
WY,1996,11.9
AL,1995,20.1
AK,1995,7.1
AZ,1995,16.1
AR,1995,14.9
CA,1995,16.7
CO,1995,8.8
CT,1995,9.7
DE,1995,10.3
FL,1995,16.2
GA,1995,12.1
HI,1995,10.3
ID,1995,14.5
IL,1995,12.4
IN,1995,9.6
IA,1995,12.2
KS,1995,10.8
KY,1995,14.7
LA,1995,19.7
ME,1995,11.2
MD,1995,10.1
MA,1995,11
MI,1995,12.2
MN,1995,9.2
MS,1995,23.5
MO,1995,9.4
MT,1995,15.3
NE,1995,9.6
NV,1995,11.1
NH,1995,5.3
NJ,1995,7.8
NM,1995,25.3
NY,1995,16.5
NC,1995,12.6
ND,1995,12
OH,1995,11.5
OK,1995,17.1
OR,1995,11.2
PA,1995,12.2
RI,1995,10.6
SC,1995,19.9
SD,1995,14.5
TN,1995,15.5
TX,1995,17.4
UT,1995,8.4
VT,1995,10.3
VA,1995,10.2
WA,1995,12.5
WV,1995,16.7
WI,1995,8.5
WY,1995,12.2
AL,1994,16.4
AK,1994,10.2
AZ,1994,15.9
AR,1994,15.3
CA,1994,17.9
CO,1994,9
CT,1994,10.8
DE,1994,8.3
FL,1994,14.9
GA,1994,14
HI,1994,8.7
ID,1994,12
IL,1994,12.4
IN,1994,13.7
IA,1994,10.7
KS,1994,14.9
KY,1994,18.5
LA,1994,25.7
ME,1994,9.4
MD,1994,10.7
MA,1994,9.7
MI,1994,14.1
MN,1994,11.7
MS,1994,19.9
MO,1994,15.6
MT,1994,11.5
NE,1994,8.8
NV,1994,11.1
NH,1994,7.7
NJ,1994,9.2
NM,1994,21.1
NY,1994,17
NC,1994,14.2
ND,1994,10.4
OH,1994,14.1
OK,1994,16.7
OR,1994,11.8
PA,1994,12.5
RI,1994,10.3
SC,1994,13.8
SD,1994,14.5
TN,1994,14.6
TX,1994,19.1
UT,1994,8
VT,1994,7.6
VA,1994,10.7
WA,1994,11.7
WV,1994,18.6
WI,1994,9
WY,1994,9.3
AL,1993,17.4
AK,1993,9.1
AZ,1993,15.4
AR,1993,20
CA,1993,18.2
CO,1993,9.9
CT,1993,8.5
DE,1993,10.2
FL,1993,17.8
GA,1993,13.5
HI,1993,8
ID,1993,13.1
IL,1993,13.6
IN,1993,12.2
IA,1993,10.3
KS,1993,13.1
KY,1993,20.4
LA,1993,26.4
ME,1993,15.4
MD,1993,9.7
MA,1993,10.7
MI,1993,15.4
MN,1993,11.6
MS,1993,24.7
MO,1993,16.1
MT,1993,14.9
NE,1993,10.3
NV,1993,9.8
NH,1993,9.9
NJ,1993,10.9
NM,1993,17.4
NY,1993,16.4
NC,1993,14.4
ND,1993,11.2
OH,1993,13
OK,1993,19.9
OR,1993,11.8
PA,1993,13.2
RI,1993,11.2
SC,1993,18.7
SD,1993,14.2
TN,1993,19.6
TX,1993,17.4
UT,1993,10.7
VT,1993,10
VA,1993,9.7
WA,1993,12.1
WV,1993,22.2
WI,1993,12.6
WY,1993,13.3
AL,1992,17.3
AK,1992,10.2
AZ,1992,15.8
AR,1992,17.5
CA,1992,16.4
CO,1992,10.8
CT,1992,9.8
DE,1992,7.8
FL,1992,15.6
GA,1992,17.7
HI,1992,11.2
ID,1992,15.2
IL,1992,15.6
IN,1992,11.8
IA,1992,11.5
KS,1992,11.1
KY,1992,19.7
LA,1992,24.5
ME,1992,13.5
MD,1992,11.8
MA,1992,10.3
MI,1992,13.6
MN,1992,13
MS,1992,24.6
MO,1992,15.7
MT,1992,13.8
NE,1992,10.6
NV,1992,14.7
NH,1992,8.7
NJ,1992,10.3
NM,1992,21.6
NY,1992,15.7
NC,1992,15.8
ND,1992,12.1
OH,1992,12.5
OK,1992,18.6
OR,1992,11.4
PA,1992,11.9
RI,1992,12.4
SC,1992,19
SD,1992,15.1
TN,1992,17
TX,1992,18.3
UT,1992,9.4
VT,1992,10.5
VA,1992,9.5
WA,1992,11.2
WV,1992,22.3
WI,1992,10.9
WY,1992,10.3
AL,1991,18.8
AK,1991,11.8
AZ,1991,14.8
AR,1991,17.3
CA,1991,15.7
CO,1991,10.4
CT,1991,8.6
DE,1991,7.5
FL,1991,15.4
GA,1991,17.2
HI,1991,7.7
ID,1991,13.9
IL,1991,13.5
IN,1991,15.7
IA,1991,9.6
KS,1991,12.3
KY,1991,18.8
LA,1991,19
ME,1991,14.1
MD,1991,9.1
MA,1991,11
MI,1991,14.1
MN,1991,12.9
MS,1991,23.7
MO,1991,14.8
MT,1991,15.4
NE,1991,9.5
NV,1991,11.4
NH,1991,7.3
NJ,1991,9.7
NM,1991,22.4
NY,1991,15.3
NC,1991,14.5
ND,1991,14.5
OH,1991,13.4
OK,1991,17
OR,1991,13.5
PA,1991,11
RI,1991,10.4
SC,1991,16.4
SD,1991,14
TN,1991,15.5
TX,1991,17.5
UT,1991,12.9
VT,1991,12.6
VA,1991,9.9
WA,1991,9.5
WV,1991,17.9
WI,1991,9.9
WY,1991,9.9
AL,1990,19.2
AK,1990,11.4
AZ,1990,13.7
AR,1990,19.6
CA,1990,13.9
CO,1990,13.7
CT,1990,6
DE,1990,6.9
FL,1990,14.4
GA,1990,15.8
HI,1990,11
ID,1990,14.9
IL,1990,13.7
IN,1990,13
IA,1990,10.4
KS,1990,10.3
KY,1990,17.3
LA,1990,23.6
ME,1990,13.1
MD,1990,9.9
MA,1990,10.7
MI,1990,14.3
MN,1990,12
MS,1990,25.7
MO,1990,13.4
MT,1990,16.3
NE,1990,10.3
NV,1990,9.8
NH,1990,6.3
NJ,1990,9.2
NM,1990,20.9
NY,1990,14.3
NC,1990,13
ND,1990,13.7
OH,1990,11.5
OK,1990,15.6
OR,1990,9.2
PA,1990,11
RI,1990,7.5
SC,1990,16.2
SD,1990,13.3
TN,1990,16.9
TX,1990,15.9
UT,1990,8.2
VT,1990,10.9
VA,1990,11.1
WA,1990,8.9
WV,1990,18.1
WI,1990,9.3
WY,1990,11
AL,1989,18.9
AK,1989,10.5
AZ,1989,14.1
AR,1989,18.3
CA,1989,12.9
CO,1989,12.1
CT,1989,2.9
DE,1989,10
FL,1989,12.5
GA,1989,15
HI,1989,11.3
ID,1989,12.4
IL,1989,12.7
IN,1989,13.7
IA,1989,10.3
KS,1989,10.8
KY,1989,16.1
LA,1989,23.3
ME,1989,10.4
MD,1989,9
MA,1989,8.8
MI,1989,13.2
MN,1989,11.2
MS,1989,22
MO,1989,12.6
MT,1989,15.6
NE,1989,12.8
NV,1989,10.8
NH,1989,7.7
NJ,1989,8.2
NM,1989,19.5
NY,1989,12.6
NC,1989,12.2
ND,1989,12.2
OH,1989,10.6
OK,1989,14.7
OR,1989,11.2
PA,1989,10.4
RI,1989,6.7
SC,1989,17
SD,1989,13.2
TN,1989,18.4
TX,1989,17.1
UT,1989,8.2
VT,1989,8
VA,1989,10.9
WA,1989,9.6
WV,1989,15.7
WI,1989,8.4
WY,1989,10.9
AL,1988,19.3
AK,1988,11
AZ,1988,14.1
AR,1988,21.6
CA,1988,13.2
CO,1988,12.5
CT,1988,4
DE,1988,8.6
FL,1988,13.6
GA,1988,14
HI,1988,11.1
ID,1988,12.5
IL,1988,12.7
IN,1988,10.1
IA,1988,9.4
KS,1988,8.1
KY,1988,17.6
LA,1988,22.8
ME,1988,13.2
MD,1988,9.8
MA,1988,8.5
MI,1988,12.1
MN,1988,11.6
MS,1988,27.2
MO,1988,12.7
MT,1988,14.6
NE,1988,10.3
NV,1988,8.6
NH,1988,6.7
NJ,1988,6.2
NM,1988,23
NY,1988,13.4
NC,1988,12.6
ND,1988,11.6
OH,1988,12.4
OK,1988,17.3
OR,1988,10.4
PA,1988,10.3
RI,1988,9.8
SC,1988,15.5
SD,1988,14.2
TN,1988,18
TX,1988,18
UT,1988,9.8
VT,1988,8.1
VA,1988,10.8
WA,1988,8.7
WV,1988,17.9
WI,1988,7.8
WY,1988,9.6
AL,1987,21.3
AK,1987,12
AZ,1987,12.8
AR,1987,21.8
CA,1987,12.3
CO,1987,12.5
CT,1987,6.6
DE,1987,6.6
FL,1987,12.4
GA,1987,14.6
HI,1987,8.8
ID,1987,15.1
IL,1987,14.4
IN,1987,11.1
IA,1987,14.5
KS,1987,9.2
KY,1987,17.3
LA,1987,25.1
ME,1987,11.7
MD,1987,9.2
MA,1987,8.2
MI,1987,12.2
MN,1987,11.3
MS,1987,25
MO,1987,14
MT,1987,18
NE,1987,11.9
NV,1987,10.4
NH,1987,4.8
NJ,1987,8.3
NM,1987,19.4
NY,1987,14.3
NC,1987,13.8
ND,1987,11.4
OH,1987,12.7
OK,1987,17
OR,1987,14.2
PA,1987,10.6
RI,1987,8.1
SC,1987,15.6
SD,1987,15.2
TN,1987,16.9
TX,1987,17.6
UT,1987,10.2
VT,1987,9.3
VA,1987,9.9
WA,1987,10
WV,1987,21.6
WI,1987,9
WY,1987,10.8
AL,1986,23.8
AK,1986,11.4
AZ,1986,14.3
AR,1986,21.3
CA,1986,12.7
CO,1986,13.5
CT,1986,6
DE,1986,12.4
FL,1986,11.4
GA,1986,14.6
HI,1986,10.7
ID,1986,18.5
IL,1986,13.3
IN,1986,12.7
IA,1986,12.9
KS,1986,11.1
KY,1986,17.7
LA,1986,22
ME,1986,10.2
MD,1986,9.2
MA,1986,9.2
MI,1986,13.9
MN,1986,12.5
MS,1986,26.6
MO,1986,14.4
MT,1986,16.5
NE,1986,13.6
NV,1986,8.1
NH,1986,3.7
NJ,1986,8.9
NM,1986,21.3
NY,1986,13.2
NC,1986,14.3
ND,1986,13.5
OH,1986,12.8
OK,1986,14.7
OR,1986,12.3
PA,1986,10.1
RI,1986,9.1
SC,1986,17.3
SD,1986,17
TN,1986,18.3
TX,1986,17.3
UT,1986,12.6
VT,1986,11
VA,1986,9.7
WA,1986,12.9
WV,1986,22.4
WI,1986,10.7
WY,1986,14.6
AL,1985,20.6
AK,1985,8.7
AZ,1985,10.7
AR,1985,22.9
CA,1985,13.6
CO,1985,10.2
CT,1985,7.6
DE,1985,11.4
FL,1985,13.4
GA,1985,17.7
HI,1985,10.7
ID,1985,16
IL,1985,15.6
IN,1985,12
IA,1985,17.9
KS,1985,13.8
KY,1985,19.4
LA,1985,18.1
ME,1985,11.9
MD,1985,8.7
MA,1985,9.2
MI,1985,14.5
MN,1985,12.6
MS,1985,25.1
MO,1985,13.7
MT,1985,16
NE,1985,14.8
NV,1985,14.4
NH,1985,6
NJ,1985,8.3
NM,1985,18.5
NY,1985,15.8
NC,1985,14.2
ND,1985,15.9
OH,1985,12.8
OK,1985,16
OR,1985,11.9
PA,1985,10.5
RI,1985,9
SC,1985,15.2
SD,1985,17.3
TN,1985,18.1
TX,1985,15.9
UT,1985,10.9
VT,1985,9.2
VA,1985,10
WA,1985,12
WV,1985,22.3
WI,1985,11.6
WY,1985,12
AL,1984,19.1
AK,1984,9.6
AZ,1984,18.2
AR,1984,23.9
CA,1984,13.2
CO,1984,8.9
CT,1984,6.9
DE,1984,10.3
FL,1984,15.1
GA,1984,16.9
HI,1984,9.3
ID,1984,17.3
IL,1984,15
IN,1984,12.9
IA,1984,14.6
KS,1984,10.7
KY,1984,19.1
LA,1984,20.6
ME,1984,13
MD,1984,8.7
MA,1984,8.9
MI,1984,16.7
MN,1984,9.1
MS,1984,25.1
MO,1984,14.5
MT,1984,13.8
NE,1984,13.3
NV,1984,10.5
NH,1984,7.1
NJ,1984,10.1
NM,1984,19.5
NY,1984,16
NC,1984,14.6
ND,1984,15.4
OH,1984,13.5
OK,1984,13.3
OR,1984,12.8
PA,1984,15.6
RI,1984,12.8
SC,1984,17.2
SD,1984,14.5
TN,1984,17.4
TX,1984,15.7
UT,1984,11.1
VT,1984,12.6
VA,1984,10
WA,1984,11.3
WV,1984,20.4
WI,1984,15.5
WY,1984,10.9
AL,1983,23
AK,1983,12.6
AZ,1983,16.3
AR,1983,21.5
CA,1983,14.9
CO,1983,12.6
CT,1983,8.8
DE,1983,8.6
FL,1983,14.7
GA,1983,18.8
HI,1983,12.9
ID,1983,17.7
IL,1983,14.3
IN,1983,16.1
IA,1983,16.7
KS,1983,13.6
KY,1983,17.9
LA,1983,21.5
ME,1983,12.4
MD,1983,8.7
MA,1983,7.7
MI,1983,16.8
MN,1983,12.1
MS,1983,27
MO,1983,16.7
MT,1983,15.4
NE,1983,15.2
NV,1983,9.7
NH,1983,8.1
NJ,1983,11.1
NM,1983,24.5
NY,1983,16
NC,1983,15.8
ND,1983,15
OH,1983,13.4
OK,1983,17
OR,1983,16.1
PA,1983,15.4
RI,1983,14.5
SC,1983,20.8
SD,1983,18.4
TN,1983,20
TX,1983,16
UT,1983,13.5
VT,1983,15.6
VA,1983,11.3
WA,1983,10.8
WV,1983,22.1
WI,1983,10.7
WY,1983,12.6
AL,1982,21.6
AK,1982,10.6
AZ,1982,14.8
AR,1982,23.8
CA,1982,14.1
CO,1982,12.6
CT,1982,8.1
DE,1982,11.5
FL,1982,15.2
GA,1982,19.6
HI,1982,13.2
ID,1982,15.6
IL,1982,13.4
IN,1982,12.6
IA,1982,13.4
KS,1982,10.4
KY,1982,16.2
LA,1982,22.7
ME,1982,13.7
MD,1982,12.3
MA,1982,10.3
MI,1982,16.2
MN,1982,13.3
MS,1982,22.9
MO,1982,14.6
MT,1982,17
NE,1982,13.6
NV,1982,7.8
NH,1982,10.3
NJ,1982,12.2
NM,1982,22.4
NY,1982,14.8
NC,1982,20.3
ND,1982,12.9
OH,1982,12.8
OK,1982,15.4
OR,1982,13.9
PA,1982,13.5
RI,1982,13.3
SC,1982,21.2
SD,1982,16.8
TN,1982,23.6
TX,1982,16.2
UT,1982,14.5
VT,1982,12.9
VA,1982,12.5
WA,1982,12.9
WV,1982,24.8
WI,1982,9.5
WY,1982,12
AL,1981,24.1
AK,1981,9
AZ,1981,11.7
AR,1981,24.1
CA,1981,13.3
CO,1981,9.6
CT,1981,8.2
DE,1981,12.3
FL,1981,16.6
GA,1981,16.3
HI,1981,11.3
ID,1981,17.7
IL,1981,12.1
IN,1981,12.6
IA,1981,13.1
KS,1981,11.7
KY,1981,19.3
LA,1981,22
ME,1981,16
MD,1981,10.7
MA,1981,8.9
MI,1981,13
MN,1981,10.9
MS,1981,25.7
MO,1981,13.2
MT,1981,13.1
NE,1981,14
NV,1981,10.5
NH,1981,7.6
NJ,1981,10
NM,1981,18.6
NY,1981,14.4
NC,1981,17.5
ND,1981,14.2
OH,1981,12.7
OK,1981,13.8
OR,1981,12.3
PA,1981,11.6
RI,1981,11.7
SC,1981,18.4
SD,1981,19.5
TN,1981,20.9
TX,1981,15.4
UT,1981,12.2
VT,1981,12.3
VA,1981,12.6
WA,1981,11.3
WV,1981,19.9
WI,1981,8.1
WY,1981,8.9
AL,1980,21.2
AK,1980,9.6
AZ,1980,12.8
AR,1980,21.5
CA,1980,11
CO,1980,8.6
CT,1980,8.3
DE,1980,11.8
FL,1980,16.7
GA,1980,13.9
HI,1980,8.5
ID,1980,14.7
IL,1980,12.3
IN,1980,11.8
IA,1980,10.8
KS,1980,9.4
KY,1980,19.3
LA,1980,20.3
ME,1980,14.6
MD,1980,9.5
MA,1980,9.5
MI,1980,12.9
MN,1980,8.7
MS,1980,24.3
MO,1980,13
MT,1980,13.2
NE,1980,13
NV,1980,8.3
NH,1980,7
NJ,1980,9
NM,1980,20.6
NY,1980,13.8
NC,1980,15
ND,1980,15.5
OH,1980,9.8
OK,1980,13.9
OR,1980,11.5
PA,1980,9.8
RI,1980,10.7
SC,1980,16.8
SD,1980,18.8
TN,1980,19.6
TX,1980,15.7
UT,1980,10
VT,1980,12
VA,1980,12.4
WA,1980,12.7
WV,1980,15.2
WI,1980,8.5
WY,1980,10.4
